ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0072089,stem cell proliferation,Mar-19,128/18805,0.0234375,23.19695724,8.013636401,0.000275613,0.005556563,0.002855354,TGFBR1/HMGA2/NF1,3
GO:0009416,response to light stimulus,Apr-19,326/18805,0.012269939,12.14401033,6.454993899,0.000279735,0.005556563,0.002855354,MAPK8/CASP3/NF1/SIRT1,4
GO:2000773,negative regulation of cellular senescence,Feb-19,26/18805,0.076923077,76.13360324,12.19184473,0.000309816,0.006062225,0.003115199,HMGA2/SIRT1,2
GO:0048745,smooth muscle tissue development,Feb-19,27/18805,0.074074074,73.31384016,11.95813363,0.0003344,0.006447036,0.003312941,NF1/COL3A1,2
GO:0042063,gliogenesis,Apr-19,348/18805,0.011494253,11.37628554,6.213491993,0.000358566,0.006812749,0.003500871,MYCN/NF1/COL3A1/EZH2,4
GO:0018105,peptidyl-serine phosphorylation,Mar-19,142/18805,0.021126761,20.90993328,7.573698487,0.000373826,0.00693812,0.003565295,MAPK8/TGFBR1/RICTOR,3
GO:0010212,response to ionizing radiation,Mar-19,143/18805,0.020979021,20.76370997,7.544703222,0.000381593,0.00693812,0.003565295,CASP3/CCND2/SIRT1,3
GO:0010165,response to X-ray,Feb-19,29/18805,0.068965517,68.25771325,11.52721307,0.000386333,0.00693812,0.003565295,CASP3/CCND2,2
GO:0045686,negative regulation of glial cell differentiation,Feb-19,29/18805,0.068965517,68.25771325,11.52721307,0.000386333,0.00693812,0.003565295,MYCN/NF1,2
GO:2000108,positive regulation of leukocyte apoptotic process,Feb-19,30/18805,0.066666667,65.98245614,11.32795564,0.000413679,0.007328829,0.003766069,NF1/SIRT1,2
GO:0034614,cellular response to reactive oxygen species,Mar-19,149/18805,0.020134228,19.92758742,7.376730057,0.000430387,0.007424172,0.003815063,MAPK8/EZH2/SIRT1,3
GO:2001235,positive regulation of apoptotic signaling pathway,Mar-19,149/18805,0.020134228,19.92758742,7.376730057,0.000430387,0.007424172,0.003815063,TGFBR1/NF1/SIRT1,3
GO:0007517,muscle organ development,Apr-19,369/18805,0.010840108,10.72885466,6.002419045,0.00044764,0.007470218,0.003838725,TGFBR1/NF1/COL3A1/SIRT1,4
GO:0045859,regulation of protein kinase activity,Apr-19,369/18805,0.010840108,10.72885466,6.002419045,0.00044764,0.007470218,0.003838725,HMGA2/CCND2/EZH2/SIRT1,4
GO:0035107,appendage morphogenesis,Mar-19,152/18805,0.019736842,19.53427978,7.296388095,0.000456219,0.007470218,0.003838725,MYCN/SALL4/COL3A1,3
GO:0035108,limb morphogenesis,Mar-19,152/18805,0.019736842,19.53427978,7.296388095,0.000456219,0.007470218,0.003838725,MYCN/SALL4/COL3A1,3
GO:1901342,regulation of vasculature development,Apr-19,372/18805,0.010752688,10.64233164,5.973657044,0.000461547,0.007470218,0.003838725,TGFBR1/HMGA2/NF1/SIRT1,4
GO:0018209,peptidyl-serine modification,Mar-19,154/18805,0.019480519,19.28058783,7.244096366,0.000473983,0.007577955,0.003894087,MAPK8/TGFBR1/RICTOR,3
GO:0009411,response to UV,Mar-19,157/18805,0.01910828,18.91216896,7.16748241,0.000501455,0.007826275,0.004021692,MAPK8/CASP3/SIRT1,3
GO:0021915,neural tube development,Mar-19,157/18805,0.01910828,18.91216896,7.16748241,0.000501455,0.007826275,0.004021692,CASP3/SALL4/NF1,3
GO:0031507,heterochromatin formation,Mar-19,160/18805,0.01875,18.55756579,7.092965781,0.00052993,0.008020001,0.004121242,HMGA2/EZH2/SIRT1,3
GO:0033032,regulation of myeloid cell apoptotic process,Feb-19,34/18805,0.058823529,58.21981424,10.62005975,0.00053222,0.008020001,0.004121242,NF1/SIRT1,2
GO:0048710,regulation of astrocyte differentiation,Feb-19,34/18805,0.058823529,58.21981424,10.62005975,0.00053222,0.008020001,0.004121242,MYCN/NF1,2
GO:0008544,epidermis development,Apr-19,395/18805,0.010126582,10.02265157,5.763557132,0.000578662,0.00862075,0.004429949,CASP3/MYCN/NF1/EZH2,4
GO:0043549,regulation of kinase activity,Apr-19,397/18805,0.010075567,9.972159618,5.746106943,0.000589758,0.008687336,0.004464166,HMGA2/CCND2/EZH2/SIRT1,4
GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,Apr-19,399/18805,0.010025063,9.922173856,5.728780511,0.000601005,0.008754646,0.004498754,TGFBR1/COL3A1/COL1A2/SIRT1,4
GO:0003205,cardiac chamber development,Mar-19,172/18805,0.01744186,17.2628519,6.814034078,0.00065417,0.009424366,0.004842904,IGF1R/TGFBR1/SALL4,3
GO:0071711,basement membrane organization,Feb-19,38/18805,0.052631579,52.09141274,10.02598489,0.00066533,0.009480957,0.004871984,PXDN/COL3A1,2
GO:0038179,neurotrophin signaling pathway,Feb-19,40/18805,0.05,49.48684211,9.762574789,0.000737316,0.010393775,0.005341054,CASP3/NGF,2
GO:0033028,myeloid cell apoptotic process,Feb-19,41/18805,0.048780488,48.27984596,9.638069016,0.00077466,0.010695274,0.005495986,NF1/SIRT1,2
GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,Apr-19,427/18805,0.009367681,9.271539504,5.49839486,0.00077502,0.010695274,0.005495986,TGFBR1/COL3A1/COL1A2/SIRT1,4
GO:0006346,DNA methylation-dependent constitutive heterochromatin formation,Feb-19,43/18805,0.046511628,46.03427173,9.402050264,0.000852045,0.011507483,0.005913356,EZH2/SIRT1,2
GO:0048736,appendage development,Mar-19,190/18805,0.015789474,15.62742382,6.444628507,0.000873174,0.011507483,0.005913356,MYCN/SALL4/COL3A1,3
GO:0060173,limb development,Mar-19,190/18805,0.015789474,15.62742382,6.444628507,0.000873174,0.011507483,0.005913356,MYCN/SALL4/COL3A1,3
GO:0009267,cellular response to starvation,Mar-19,191/18805,0.015706806,15.54560485,6.425595413,0.000886541,0.011507483,0.005913356,MAPK8/IGF1R/SIRT1,3
