category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,42767,77/9381,0.025974026,14.33307869,5.005369365,0.008350546,0.029589978,0.01528704,MAPK8/TGFBR1,2
Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,42767,77/9381,0.025974026,14.33307869,5.005369365,0.008350546,0.029589978,0.01528704,TGFBR1/NRAS,2
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,42767,78/9381,0.025641026,14.14932127,4.968603083,0.008561198,0.029690962,0.015339212,MAPK8/CASP3,2
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,42767,86/9381,0.023255814,12.83310534,4.696977031,0.010331818,0.035085131,0.018125996,MAPK8/NRAS,2
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,42767,93/9381,0.021505376,11.86717268,4.487372439,0.012003364,0.039130966,0.020216191,IGF1R/TGFBR1,2
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,42767,93/9381,0.021505376,11.86717268,4.487372439,0.012003364,0.039130966,0.020216191,MAPK8/NRAS,2
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,42767,94/9381,0.021276596,11.74092616,4.459263259,0.012251297,0.039156107,0.02022918,MAPK8/CASP3,2
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,42767,99/9381,0.02020202,11.14795009,4.324842689,0.013524723,0.041594904,0.021489133,MAPK8/NGF,2
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,42767,99/9381,0.02020202,11.14795009,4.324842689,0.013524723,0.041594904,0.021489133,MAPK8/NRAS,2
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,42767,103/9381,0.019417476,10.71501999,4.224062195,0.014583497,0.043220183,0.0223288,COL3A1/COL1A2,2
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,42767,103/9381,0.019417476,10.71501999,4.224062195,0.014583497,0.043220183,0.0223288,MAPK8/TGFBR1,2
Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,42767,105/9381,0.019047619,10.51092437,4.175727841,0.015126055,0.043255211,0.022346896,MAPK8/NRAS,2
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,42767,105/9381,0.019047619,10.51092437,4.175727841,0.015126055,0.043255211,0.022346896,MAPK8/NRAS,2
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,42767,106/9381,0.018867925,10.41176471,4.152046533,0.0154006,0.043280996,0.022360217,IGF1R/NRAS,2
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,42767,109/9381,0.018348624,10.12520237,4.082857474,0.0162372,0.044858706,0.023175308,MAPK8/TGFBR1,2
Organismal Systems,Endocrine system,hsa04914,Progesterone-mediated oocyte maturation,42767,110/9381,0.018181818,10.03315508,4.060389496,0.016520364,0.044880322,0.023186476,MAPK8/IGF1R,2
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,42767,112/9381,0.017857143,9.853991597,4.016306546,0.01709309,0.045674978,0.023597018,MAPK8/CASP3,2
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,42767,115/9381,0.017391304,9.596930946,3.952222515,0.01796806,0.04723861,0.024404836,CASP3/NRAS,2
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,42767,119/9381,0.016806723,9.274345032,3.870346933,0.019164012,0.04958308,0.025616057,MAPK8/CASP3,2
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,42767,122/9381,0.016393443,9.046287367,3.811435631,0.020082705,0.049598195,0.025623866,IGF1R/SIRT1,2
Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,42767,122/9381,0.016393443,9.046287367,3.811435631,0.020082705,0.049598195,0.025623866,MAPK8/NRAS,2
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",42767,122/9381,0.016393443,9.046287367,3.811435631,0.020082705,0.049598195,0.025623866,MAPK8/NRAS,2
